[2023-03-22 11:03:10,991] INFO [Controller id=0 epoch=3] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2023-03-22 11:03:11,541] INFO [Broker id=0] Leader timer_created-0 with topic id Some(GgQBsio-RemtYFXRrVJgCA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,552] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,561] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,571] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,582] INFO [Broker id=0] Leader outboxevents.public.outbox-0 with topic id Some(5pB7ioVBQUWrjAENIyh9pg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,591] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,600] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,600] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,611] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,621] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,630] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,641] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,651] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,676] INFO [Broker id=0] Finished LeaderAndIsr request in 562ms correlationId 1 from controller 0 for 53 partitions (state.change.logger)
[2023-03-22 11:03:11,686] INFO [Broker id=0] Add 53 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 3 with correlation id 2 (state.change.logger)
